"","sample","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1012","Smp_319220",1.74158156912822,-1.27230736989212,1.25241611482813,-1.01588230527257,0.309685436016957,0.998097287623391
"1013","Smp_319230",1.91324265874367,1.75356847189641,1.23662512985678,1.41802752471923,0.15618272893114,0.998097287623391
"1014","Smp_319470",2.4620606939171,-2.17897255162457,1.09082935164615,-1.99753751431086,0.0457668234523591,0.998097287623391
"1015","Smp_319610",1.96130253318064,0.905422044063495,1.12212106623501,0.80688445418943,0.419733056068619,0.998097287623391
"1016","Smp_319760",1.20374192563235,-0.997256908165373,1.57597655425936,-0.632786639794929,0.526872982500419,0.998097287623391
"1017","Smp_320210",2.26616554702194,1.77376818341623,1.19461306623822,1.48480561074202,0.137595325203891,0.998097287623391
"1018","Smp_321620",1.25259517417677,0.80814284803988,1.5625408971233,0.517197885525878,0.605018027935795,0.998097287623391
"1019","Smp_321750",1.29979183841496,-0.781560768023529,1.53279391677501,-0.50989292133148,0.610126481419198,0.998097287623391
"1020","Smp_321860",1.54433651488384,-2.44156763570147,1.47688943895139,-1.65318240574258,0.0982937461280764,0.998097287623391
"1021","Smp_321920",1.31882275799609,-2.38290004821869,1.62671723630874,-1.46485203146051,0.142961292489208,0.998097287623391
"1022","Smp_322000",2.58788164908273,1.61939287053541,1.03574370053481,1.56350733265308,0.117933312330811,0.998097287623391
"1023","Smp_322220",1.71398669966729,-0.0918762264366285,1.40175318956766,-0.0655437969539884,0.947741036355016,0.998097287623391
"1024","Smp_322230",8.07972789831448,1.70872424246762,0.705494605342844,2.42202311616152,0.0154343687058334,0.998097287623391
"1025","Smp_322410",0.99941212681722,0.904743584584245,1.55522948140506,0.58174282020867,0.560739924163016,0.998097287623391
"1026","Smp_322440",2.65448183514827,-0.520709357089192,1.02362415736038,-0.508691938681814,0.610968173787033,0.998097287623391
"1027","Smp_322560",2.69563668596273,-0.611082254544322,1.05545178457776,-0.578976949466988,0.562604726643718,0.998097287623391
"1028","Smp_322570",2.00704604854565,-0.00956090832563585,1.11481295824465,-0.00857624434209142,0.993157230933063,0.999321442468903
"1029","Smp_322650",2.66999352885188,0.67305604666514,1.10764867076803,0.607643979925918,0.543423625023883,0.998097287623391
"1030","Smp_322900",1.10162190732738,1.14607192933155,1.62569462781818,0.704973683077044,0.48082661381336,0.998097287623391
"1031","Smp_322970",1.39831082270552,-0.772510419383406,1.49897838142778,-0.515357945754753,0.60630291385915,0.998097287623391
"1032","Smp_323210",8.63663905640757,0.286243591217067,0.725003389342873,0.394816900754784,0.692978021128643,0.998097287623391
"1033","Smp_323540",1.42500201287493,0.666973405765119,1.49904239884219,0.444932982736357,0.656368186152205,0.998097287623391
"1034","Smp_323650",11.2583550947796,-0.36479126326372,0.597970847552656,-0.610048574703463,0.54182963073299,0.998097287623391
"1035","Smp_323680",23.1047592410632,-0.528574059470629,0.646293419869678,-0.817854620239231,0.413440205110022,0.998097287623391
"1036","Smp_323710",14.3314901710984,-0.520696337599363,0.713392877432059,-0.729887210920397,0.465459130308525,0.998097287623391
"1037","Smp_323810",52.6368939124703,0.325256069952034,0.468699388437828,0.693954543094478,0.487710716533234,0.998097287623391
"1038","Smp_323830",4.15246799324479,0.172691828506853,0.880047235809502,0.196230181153861,0.844430006111992,0.998097287623391
"1039","Smp_324190",43.3961633044164,0.248642314882059,0.453742914343098,0.547980600957766,0.583705223087687,0.998097287623391
"1040","Smp_324230",4.23402815040328,-1.237116229261,0.851738119433898,-1.45246079872912,0.14637352160651,0.998097287623391
"1041","Smp_324240",0.823955359740022,-1.5004531084774,1.73984313129646,-0.862407122508408,0.388463522481113,0.998097287623391
"1042","Smp_324360",4.78892168879191,0.0816396568158978,0.80824331378523,0.101008762365823,0.919543504392526,0.998097287623391
"1043","Smp_325610",2.21203553964267,-0.871987464307518,1.15851739177665,-0.752675333574644,0.451645035949647,0.998097287623391
"1044","Smp_325670",1.57305832357012,0.559425075944781,1.29410074777532,0.432288658287605,0.665531629282871,0.998097287623391
"1045","Smp_325760",2.31949273992775,1.79700384053331,1.1345325733492,1.58391559902812,0.113212927088855,0.998097287623391
"1046","Smp_325920",4.87414663873136,1.0196050825849,0.787150605049948,1.29531131151224,0.195212858644174,0.998097287623391
"1047","Smp_326180",11.43682745693,0.0470102843351602,0.52390520395109,0.0897305160945661,0.928501365413528,0.998097287623391
"1048","Smp_326440",2.66778333136254,-1.70383230344533,1.09208181222002,-1.56016910489676,0.118719924506004,0.998097287623391
"1049","Smp_326570",2.90249034148014,-0.255282250937489,0.9651198515622,-0.264508341139471,0.79138823832788,0.998097287623391
"1050","Smp_326750",1.08821421506557,1.08655371922803,1.63434371428767,0.664825709383663,0.50616197675472,0.998097287623391
"1051","Smp_327300",371.704357535939,0.751320316940691,0.462512154139075,1.62443367210362,0.104283285553382,0.998097287623391
"1052","Smp_327480",2.77673820665284,-0.0664327445717448,0.924029163708458,-0.0718946405383208,0.942685755244896,0.998097287623391
"1053","Smp_327530",0.906939570115601,1.15567049924342,1.62209463136429,0.712455658811606,0.476182659914494,0.998097287623391
"1054","Smp_327550",1.28125665047239,-2.21008573402918,1.54524954557854,-1.43024519266351,0.152646658883998,0.998097287623391
"1055","Smp_327600",1.95958541264841,-0.849412322408821,1.13898531742494,-0.745762310904238,0.455811010893568,0.998097287623391
"1056","Smp_327920",0.878061394087905,2.82583195856416,1.77386256140081,1.59303884080659,0.111151477972411,0.998097287623391
"1057","Smp_328230",1.75866288302722,0.194485492716586,1.35102773164633,0.14395373844739,0.885537000416601,0.998097287623391
"1058","Smp_328580",8.08665620315171,-1.09123748167592,0.656633093732984,-1.66186793216924,0.0965392577215934,0.998097287623391
"1059","Smp_328590",4.77379029798068,-1.5513059881665,0.789211618501032,-1.965640079036,0.0493402009920724,0.998097287623391
"1060","Smp_328750",4.35649005311439,1.1535996473802,0.864900304668186,1.33379493700465,0.182271070738254,0.998097287623391
"1061","Smp_329010",1.10652349678903,-1.31105713186468,1.45653882587297,-0.900118217637556,0.368057342101069,0.998097287623391
"1062","Smp_329200",3.74000154324336,-0.0623789756051354,0.861478614347939,-0.0724091980534544,0.942276265023316,0.998097287623391
"1063","Smp_329430",1.8712616372437,-0.151352543022176,1.17748120520239,-0.128539243219734,0.897722244191637,0.998097287623391
"1064","Smp_329590",3.20026368543509,0.69915615167493,1.01479283998913,0.688964411379194,0.490845663654752,0.998097287623391
"1065","Smp_329680",3.80088088626799,0.368011525577229,0.939854154411819,0.391562375768333,0.695381592156947,0.998097287623391
"1066","Smp_329690",1.52899390586843,2.0557784437325,1.43402948797459,1.43356776201029,0.151695648755539,0.998097287623391
"1067","Smp_329780",9.27331784460876,-0.0545440700628007,0.652457010433324,-0.083597952341068,0.933376095034106,0.998097287623391
"1068","Smp_329940",1.78067520448222,-0.808578604653258,1.37824666111511,-0.586671912558132,0.557424075093024,0.998097287623391
"1069","Smp_329950",1.34672910880752,0.457249206092152,1.37735138017,0.331977164778182,0.739906501978018,0.998097287623391
"1070","Smp_330330",2.6800369309911,1.20000221459803,1.00097870744267,1.19882891181955,0.230594478055881,0.998097287623391
"1071","Smp_330450",1.88902377776548,1.04720155914514,1.13888455086925,0.919497554291932,0.357835384273518,0.998097287623391
"1072","Smp_330600",8.17085235741368,0.970069820873178,0.78395282308458,1.23740841579764,0.215935495995172,0.998097287623391
"1073","Smp_330640",2.92699813798626,0.796291215419265,0.999400987191361,0.796768489950265,0.425585498436534,0.998097287623391
