"","Geneid","Int-01","Int-02","Int-03","Int-04","Liv-01","Liv-02","Liv-03","Liv-04","total_counts"
"44","Smp_079430",6,2,2,2,6,4,0,4,26
"45","Smp_079310",0,2,2,2,2,2,0,2,12
"46","Smp_079270",2,1,4,0,2,0,0,1,10
"47","Smp_053390",0,0,2,2,2,4,0,4,14
"48","Smp_348610",220,59,57,60,44,234,6,33,713
"49","Smp_336340",0,0,0,2,0,2,0,6,10
"50","Smp_166040",6,2,0,2,1,0,1,2,14
"51","Smp_105320",2,2,0,0,0,4,0,2,10
"52","Smp_333140",0,0,0,3,2,3,0,4,12
"53","Smp_103160",0,2,2,2,2,4,0,2,14
"54","Smp_323640",0,0,0,0,0,14,0,0,14
"55","Smp_337250",2,0,0,6,2,0,2,8,20
"56","Smp_323680",24,19,37,64,7,77,0,25,253
"57","Smp_323710",15,7,32,38,2,46,0,22,162
"58","Smp_346350",4,0,0,6,0,0,0,2,12
"59","Smp_103200",6,0,4,4,2,2,0,0,18
"60","Smp_017660",2,2,0,6,2,1,0,4,17
"61","Smp_131870",2,0,2,8,2,2,0,6,22
"62","Smp_086590",0,0,0,6,4,2,0,4,16
"63","Smp_159730",2,2,0,2,4,0,0,0,10
"64","Smp_159780",13,2,10,18,10,14,0,26,93
"65","Smp_080280",4,0,4,8,4,6,0,8,34
"66","Smp_076660",0,0,0,4,2,2,0,2,10
"67","Smp_163430",0,2,2,1,0,4,0,2,11
"68","Smp_307220",20,8,13,21,3,14,0,9,88
"69","Smp_077020",12,1,6,2,0,8,1,0,30
"70","Smp_163580",2,2,4,0,2,4,0,2,16
"71","Smp_163550",5,4,2,3,0,13,0,0,27
"72","Smp_248140",0,0,0,0,6,4,0,2,12
"73","Smp_097800",14,10,20,35,15,30,4,20,148
"74","Smp_097790",2,0,0,4,2,2,2,0,12
"75","Smp_097750",6,4,6,4,2,14,0,10,46
"76","Smp_097700",0,0,0,2,0,6,0,2,10
"77","Smp_097660",14,6,2,4,14,12,0,12,64
"78","Smp_083410",6,0,4,2,6,2,2,8,30
"79","Smp_083400",0,0,2,7,2,0,0,2,13
"80","Smp_167330",2,0,2,4,0,3,2,2,15
"81","Smp_167300",3,0,0,2,0,3,0,2,10
"82","Smp_331910",5,0,4,2,6,18,2,6,43
"83","Smp_194050",4,0,0,4,0,0,0,2,10
"84","Smp_141330",2,0,0,0,2,2,0,6,12
"85","Smp_210790",0,0,2,0,0,6,0,2,10
"86","Smp_035480",1,0,0,0,2,0,0,8,11
"87","Smp_035470",0,0,0,4,0,4,0,8,16
"88","Smp_035280",2,0,2,0,0,4,0,2,10
"89","Smp_035200",18,2,4,12,10,34,2,16,98
"90","Smp_141140",6,0,4,5,1,0,0,5,21
"91","Smp_034940",2,0,4,0,0,0,0,8,14
"92","Smp_034860",1,4,1,1,1,0,0,7,15
"93","Smp_333770",2,0,1,6,0,0,0,2,11
"94","Smp_340320",5,2,1,2,0,0,0,0,10
"95","Smp_133120",2,2,0,2,0,4,0,2,12
"96","Smp_133110",6,4,10,0,4,18,0,16,58
"97","Smp_020060",3,0,2,1,0,0,0,4,10
"98","Smp_200380",4,2,4,4,6,0,2,0,22
"99","Smp_019950",2,0,2,0,0,6,0,2,12
"100","Smp_172790",9,2,6,4,4,4,2,8,39
"101","Smp_085150",0,0,0,2,4,2,0,2,10
"102","Smp_034700",2,2,2,6,2,4,4,4,26
"103","Smp_140920",8,0,0,1,0,1,0,2,12
"104","Smp_322440",8,2,2,4,0,2,2,4,24
