"","Int-01","Int-02","Int-03","Int-04","Liv-01","Liv-02","Liv-03","Liv-04"
"Smp_034700",2,2,2,6,2,4,4,4
"Smp_034860",1,4,1,1,1,0,0,7
"Smp_035200",18,2,4,12,10,34,2,16
"Smp_035280",2,0,2,0,0,4,0,2
"Smp_036020",1,0,1,3,2,3,0,5
"Smp_036130",0,0,0,2,2,4,0,2
"Smp_036220",4,0,2,0,2,16,0,6
"Smp_036270",10,4,0,4,2,4,0,4
"Smp_036370",13,3,9,9,3,10,0,14
"Smp_036390",3,2,4,5,2,2,2,3
"Smp_037190",4,2,2,12,3,5,1,5
"Smp_037690",7,2,2,4,0,0,0,0
"Smp_037700",4,0,2,0,4,8,0,4
"Smp_038080",4,0,2,6,0,2,0,6
"Smp_038100",4,0,8,8,0,0,0,2
"Smp_038510",6,2,4,6,4,6,0,10
"Smp_038560",2,0,2,2,0,6,0,6
"Smp_038710",6,4,7,2,5,4,1,4
"Smp_038870",0,0,0,2,0,6,2,2
"Smp_039180",5,0,2,0,1,0,0,2
"Smp_039390",3,0,1,6,8,10,0,3
"Smp_039400",6,2,4,2,0,4,2,0
"Smp_039670",6,5,4,10,4,4,0,15
"Smp_039810",0,2,4,2,0,2,0,0
"Smp_040130",10,2,12,30,14,46,4,24
"Smp_040270",4,0,2,4,2,4,2,4
"Smp_040550",1,0,2,0,0,3,0,6
"Smp_040790",8,0,4,2,0,8,0,2
"Smp_040800",2,2,10,0,0,0,0,6
"Smp_041740",12,0,6,10,8,0,0,12
"Smp_041980",4,2,0,0,0,4,0,2
"Smp_042090",2,2,4,4,0,6,0,6
"Smp_042160",16,3,12,32,0,18,0,2
"Smp_042270",6,0,0,0,2,2,0,2
"Smp_042280",2,4,0,0,0,2,0,2
"Smp_042920",10,4,5,4,4,15,2,9
"Smp_042990",10,1,2,2,9,10,0,8
"Smp_043170",4,0,2,0,2,0,0,4
"Smp_043670",0,1,2,2,0,2,0,4
"Smp_043780",2,0,2,2,1,2,0,4
"Smp_043970",6,2,2,1,0,5,0,3
"Smp_044000",2,0,0,5,3,8,2,2
"Smp_044250",2,0,0,2,2,0,0,8
"Smp_044280",2,2,0,0,2,4,0,2
"Smp_044550",4,2,0,2,0,0,0,4
"Smp_044580",8,0,0,4,8,14,0,2
"Smp_044680",4,0,0,0,2,6,0,10
"Smp_044970",0,2,10,4,0,0,0,2
"Smp_045220",4,0,10,10,2,16,0,10
"Smp_045230",4,2,0,0,2,6,2,2
"Smp_045950",16,10,5,17,7,12,1,11
"Smp_046060",2,2,0,0,4,4,0,4
"Smp_046090",12,2,2,2,2,2,0,6
"Smp_046130",0,0,0,2,2,0,2,4
"Smp_046690",9,1,7,11,3,23,0,11
"Smp_047200",4,0,6,0,2,2,0,2
"Smp_047360",0,0,0,2,2,4,0,2
"Smp_047900",6,0,4,14,0,10,2,2
"Smp_048050",19,3,10,16,0,19,1,15
"Smp_048430",8,4,6,10,2,8,0,16
"Smp_049230",7,0,3,4,1,5,0,3
"Smp_049550",10,2,8,16,12,4,2,22
