gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Smp_174960,1.5322752709800471,0.754440072598454,1.3374821037891196,0.5640748915152635,0.5727031650523258,0.9980972876233909
Smp_175580,4.143451574940018,-1.516210194109228,0.9181646945844256,-1.6513488299563581,0.09866736692630113,0.9980972876233909
Smp_175810,1.6921358195265714,0.36380687623674607,1.4070599388106113,0.25855819372149297,0.7959761431012953,0.9980972876233909
Smp_175900,1.8572705992110223,-0.74466742946642,1.3343028873957286,-0.5580947448295268,0.5767796889394898,0.9980972876233909
Smp_175930,1.3813229859967415,-0.16990124777068746,1.3098158379907476,-0.12971384437625622,0.8967928288845564,0.9980972876233909
Smp_176080,1.18977424588171,-0.37343340428630073,1.5398479120285027,-0.24251317378114448,0.8083825502764664,0.9980972876233909
Smp_176370,1.3122814113084516,0.12359746147475505,1.3518923696469451,0.0914255189612715,0.9271544854599945,0.9980972876233909
Smp_176700,1.6758497169474587,-1.0003595500324647,1.3201250058493499,-0.7577763814790005,0.4485848639492163,0.9980972876233909
Smp_177020,3.6183722696450196,1.1236209902676673,0.916032317244038,1.226617193646811,0.21996650381622873,0.9980972876233909
Smp_177290,1.3923985633043834,0.7892706683392114,1.4305227940070726,0.5517358210898311,0.581129363964519,0.9980972876233909
Smp_178750,2.1023977516654133,-0.8957735116931563,1.1137246125295774,-0.8043043151022822,0.4212212461943705,0.9980972876233909
Smp_178850,1.231903370327673,-0.501279688738525,1.581117369049041,-0.3170414154896157,0.7512121769778115,0.9980972876233909
Smp_179180,2.9537298854687473,0.1491991748308605,0.9312343067730686,0.16021657894871638,0.8727104699830657,0.9980972876233909
Smp_179270,1.510205548377467,-1.8880739191824172,1.424808559254836,-1.325142179220109,0.18512399865812604,0.9980972876233909
Smp_179300,11.500336854334956,1.341396816013738,0.559618641098059,2.3969837984340696,0.01653065462057537,0.9980972876233909
Smp_179350,1.1782672107252,0.1581175347165062,1.5365461332290178,0.10290451506602388,0.91803875422313,0.9980972876233909
Smp_179610,1.2112388583074636,3.386930848075071,1.6318465039821783,2.075520485419418,0.037938322286004605,0.9980972876233909
Smp_179650,7.759066910904009,0.7482989761584625,0.665793444678718,1.123920612525042,0.2610467060017948,0.9980972876233909
Smp_180000,7.8495056867755455,0.3111029456516242,0.6872956545454517,0.45264791592109593,0.650802289704512,0.9980972876233909
Smp_180350,4.145007744852474,-0.9258660902719889,0.959375520442757,-0.9650716226787782,0.33450893919777064,0.9980972876233909
Smp_180400,1.7473039982290122,1.925367330272878,1.3294065602795384,1.4482908297579222,0.1475357312293657,0.9980972876233909
Smp_180430,1.6397341923185549,-0.5953884775663282,1.3148028933136129,-0.45283477895748236,0.6506677179960861,0.9980972876233909
Smp_181090,1.1266577815569125,0.4217832465157111,1.4766700560474944,0.2856313397758404,0.7751604973411949,0.9980972876233909
Smp_181730,1.9489709150664152,-0.867130804879131,1.1372082440809714,-0.7625083702940423,0.44575664937492593,0.9980972876233909
Smp_182620,1.6627390361521726,0.4211666521132753,1.356018648244245,0.3105906048258233,0.756111870454289,0.9980972876233909
