#Position (bp)	mapping quality
3.146057545E8	9.343212233194304
3.155843105E8	37.05634401487556
3.16365796E8	55.19666785156976
3.16855074E8	35.21932273221514
3.175414225E8	25.571082946159922
3.185199785E8	22.47303534122892
3.194985345E8	45.409315376791625
3.204770905E8	40.929982805062124
3.214556465E8	45.03243632181809
3.224342025E8	50.80912470171415
3.234127585E8	27.83049937208961
3.243913145E8	27.450419750510594
3.253698705E8	48.430658164126946
3.263484265E8	43.265818891483406
3.273269825E8	34.714799424560105
3.283055385E8	26.119785077652722
3.292840945E8	36.831940495285984
3.302626505E8	33.27293407825231
3.312412065E8	38.236060177221844
3.322197625E8	57.34365332060436
3.331983185E8	40.435113246813614
3.341768745E8	41.23723460231319
3.351554305E8	48.35020359827058
3.361339865E8	39.10204512687777
3.371125425E8	24.457958590563315
3.380910985E8	26.388379403915575
3.390696545E8	88.30868834563647
3.400482105E8	63.755367798138856
3.40945784E8	26.29761703354276
3.41435062E8	43.818274603214924
3.420053225E8	14.995263106816127
3.429838785E8	16.89935035786574
3.439624345E8	14.820333371792838
3.449409905E8	10.60993942361695
3.459195465E8	36.60234900919336
3.468981025E8	45.956688097314704
3.478766585E8	38.40582399179264
3.488552145E8	30.1720280033252
3.498337705E8	43.687789589082875
3.508123265E8	24.486064732399694
3.517908825E8	46.95488389580736
3.527694385E8	40.55926510939255
3.537479945E8	21.683147198103143
3.547265505E8	36.69734702999656
3.557051065E8	40.332442078036536
3.566836625E8	33.990828101257115
3.576622185E8	2.9641983839387858
3.586407745E8	27.722167984001523
3.596193305E8	39.74766264606627
3.605978865E8	20.119719334703067
3.615764425E8	51.23895467440474
3.625549985E8	35.781312245944484
3.635335545E8	38.59756677427409
3.645121105E8	50.16707616928918
3.65242163E8	30.38879120718636
3.65731441E8	24.59275104403231
3.664692225E8	47.122242158012135
3.674477785E8	27.210925366672875
3.684263345E8	37.15439872184595
3.694048905E8	41.88425552768518
3.703834465E8	29.116885211383007
3.713620025E8	25.820162901930182
3.723405585E8	38.32273212078159
3.733191145E8	39.7780482516427
3.742976705E8	20.687827898068367
3.752762265E8	69.13889295969781
3.762547825E8	30.106549975648182
3.772333385E8	27.94825150894594
3.782118945E8	24.186751398704555
3.791904505E8	30.945921981418884
3.801690065E8	37.42326469085555
3.811475625E8	31.07460845984135
3.821261185E8	30.04352555812223
3.831046745E8	32.72240350725167
3.840832305E8	38.101281450918364
3.849989605E8	27.014467387682608
3.854882385E8	44.907266501807115
3.860403425E8	67.54787523416925
3.870188985E8	49.84319469420113
3.879974545E8	127.90525915905343
3.889760105E8	110.39876230682651
3.899545665E8	36.873772456721014
3.909196135E8	52.50274544745782
3.91408841E8	253.6927991436809
