#Position (bp)	insert size
9.83448785E7	4004.3957931477908
9.93234345E7	4545.702622829701
1.003019905E8	4491.256224728666
1.012805465E8	1878.402382475216
1.022591025E8	1479.9447842970371
1.032376585E8	3696.945914844649
1.042162145E8	3662.739362346951
1.051947705E8	4948.116514564321
1.061733265E8	1072.7006016847172
1.071518825E8	2069.906699329002
1.081304385E8	1452.3481115722016
1.091089945E8	1735.9103398409254
1.100875505E8	841.8886737657309
1.110661065E8	2156.7620712844655
1.120446625E8	1623.080204778157
1.130232185E8	3861.6004630820685
1.140017745E8	1322.2439824512865
1.149803305E8	1563.3298969072166
1.159588865E8	3312.8867421007685
1.169374425E8	1127.3031205040434
1.179159985E8	12708.799595258746
1.188945545E8	3050.697233201581
1.198731105E8	8594.260444813968
1.208516665E8	2203.4300890327804
1.218302225E8	2466.422409406976
1.228087785E8	2641.302716344557
1.237873345E8	3445.4733845715914
1.247658905E8	10010.172425139848
1.257444465E8	2594.802021710413
1.267230025E8	3542.665390662383
1.277015585E8	1875.0934555960307
1.286801145E8	1128.0492796261844
1.296586705E8	1093.2209292763157
1.306372265E8	1515.414119917142
1.316157825E8	1499.1668199374656
1.325943385E8	2070.157405357538
1.335728945E8	1745.5939361702128
1.345514505E8	1438.9641986398049
1.355300065E8	4573.653326612904
1.365085625E8	2260.438840653728
1.374871185E8	3007.3437407077013
1.384656745E8	2487.6685873605948
1.394442305E8	2155.8787073455937
1.404227865E8	1680.3387145595802
1.414013425E8	1951.9103595309623
1.423798985E8	3367.5501179245284
1.433584545E8	2872.517402269861
1.443370105E8	2092.9533561333387
1.453155665E8	1588.5456107198077
1.462941225E8	2431.97206943967
1.472726785E8	2513.3585444166965
1.482512345E8	2569.8340180772393
1.492297905E8	2806.200230315244
1.502083465E8	1540.5737815579857
1.511869025E8	3245.4991439688715
1.521654585E8	2339.711699448717
1.531440145E8	3009.78
1.541225705E8	2856.4938036224976
1.551011265E8	6072.75232853514
1.560796825E8	3301.241494415201
1.570582385E8	2981.6043641172582
1.580367945E8	3107.894552358697
1.590153505E8	2219.0168709081754
1.599939065E8	2032.7162832083386
1.609724625E8	4940.573348837209
1.619510185E8	6121.8876932403755
1.629295745E8	2574.1611570247933
1.639081305E8	2232.351553640281
1.648866865E8	1913.9672171179145
1.658652425E8	1863.5155250789737
1.668437985E8	6960.418123882801
1.678223545E8	2656.7236903831117
1.688009105E8	6546.067116682739
1.697794665E8	8356.854198767334
1.707580225E8	90282.74917763157
1.717365785E8	56287.17915697848
1.727151345E8	6355.125541460396
1.736936905E8	3451.8296055307037
1.744297225E8	12333.468298590087
1.749190005E8	98657.46086377262
1.756508025E8	46661.92980515613
1.766293585E8	39793.444456734134
1.776079145E8	14135.214962522981
1.785864705E8	8606.238594525372
1.795650265E8	2941.6394596651444
1.805435825E8	14982.722410358565
1.815221385E8	2927.384215091067
1.825006945E8	5648.0739199365835
1.834792505E8	3501.2103092783505
1.844578065E8	1341.6899104873467
1.854363625E8	46325.48339209501
1.864149185E8	2316.54015918958
1.873934745E8	2571.2809855649575
1.883720305E8	8057.480672560236
1.893505865E8	4249.394956389837
1.903291425E8	2062.007245773299
1.913076985E8	2224.239336492891
1.922862545E8	1261.5272530055138
1.932648105E8	2290.2255282449332
1.942433665E8	1774.8246178600161
1.952219225E8	1741.814499484004
1.962004785E8	2756.9446536474297
1.971790345E8	1404.6641907740423
1.981575905E8	1328.1509527100404
1.991361465E8	2585.377890841813
2.001147025E8	4376.381874860833
2.010932585E8	3159.8988483530643
2.020718145E8	8399.743290007902
2.030503705E8	2413.568071049496
2.040289265E8	1097.4144461794187
2.050074825E8	12181.081881954524
2.059860385E8	6296.134557172151
2.069645945E8	1833.1573294181285
2.079431505E8	1087.9962842859072
2.089217065E8	2409.9956714761374
2.099002625E8	4551.263658482637
2.108788185E8	4020.991910229645
2.118573745E8	2307.192030758476
2.128359305E8	4396.5657378335945
2.138144865E8	2681.4265505984768
2.147930425E8	2599.9396545333234
2.157715985E8	1319.2353976881268
2.167501545E8	2805.935608646189
2.177287105E8	3211.1972230987694
2.187072665E8	1929.3148617161382
2.196858225E8	1769.046957403651
2.206643785E8	14426.699272812573
2.216429345E8	3185.3842050674175
2.226214905E8	2455.789026046896
2.236000465E8	1823.3479779411764
2.242797555E8	5266.026920551543
2.247690335E8	19936.338860345633
2.255571585E8	2264.449415858812
2.265357145E8	1309.8949355143127
2.275142705E8	110945.35306298533
