#Insert size (bp)	insert size
933.0	375.0
934.0	383.0
935.0	356.0
936.0	356.0
937.0	399.0
938.0	380.0
939.0	377.0
940.0	357.0
941.0	321.0
942.0	381.0
943.0	378.0
944.0	393.0
945.0	362.0
946.0	348.0
947.0	402.0
948.0	377.0
949.0	389.0
950.0	370.0
951.0	383.0
952.0	327.0
953.0	374.0
954.0	388.0
955.0	361.0
956.0	424.0
957.0	371.0
958.0	353.0
959.0	392.0
960.0	368.0
961.0	364.0
962.0	308.0
963.0	398.0
964.0	358.0
965.0	344.0
966.0	323.0
967.0	371.0
968.0	367.0
969.0	371.0
970.0	368.0
971.0	381.0
972.0	393.0
973.0	377.0
974.0	395.0
975.0	392.0
976.0	410.0
977.0	363.0
978.0	339.0
979.0	353.0
980.0	392.0
981.0	423.0
982.0	361.0
983.0	370.0
984.0	376.0
985.0	388.0
986.0	443.0
987.0	393.0
988.0	423.0
989.0	408.0
990.0	342.0
991.0	333.0
992.0	360.0
993.0	390.0
994.0	349.0
995.0	382.0
996.0	390.0
997.0	378.0
998.0	413.0
999.0	367.0
1000.0	380.0
1001.0	401.0
1002.0	341.0
1003.0	350.0
1004.0	354.0
1005.0	339.0
1006.0	425.0
1007.0	376.0
1008.0	362.0
1009.0	385.0
1010.0	387.0
1011.0	429.0
1012.0	384.0
1013.0	376.0
1014.0	393.0
1015.0	330.0
1016.0	351.0
1017.0	364.0
1018.0	380.0
1019.0	370.0
1020.0	405.0
1021.0	358.0
1022.0	392.0
1023.0	334.0
1024.0	389.0
1025.0	363.0
1026.0	395.0
1027.0	408.0
1028.0	374.0
1029.0	387.0
1030.0	395.0
1031.0	388.0
1032.0	401.0
1033.0	361.0
1034.0	372.0
1035.0	366.0
1036.0	356.0
1037.0	358.0
1038.0	357.0
1039.0	421.0
1040.0	329.0
1041.0	360.0
1042.0	344.0
1043.0	351.0
1044.0	372.0
1045.0	429.0
1046.0	407.0
1047.0	344.0
1048.0	395.0
1049.0	410.0
1050.0	391.0
1051.0	401.0
1052.0	345.0
1053.0	393.0
1054.0	416.0
1055.0	395.0
1056.0	389.0
1057.0	424.0
1058.0	380.0
1059.0	405.0
1060.0	421.0
1061.0	367.0
1062.0	391.0
1063.0	456.0
1064.0	407.0
1065.0	420.0
1066.0	410.0
1067.0	428.0
1068.0	419.0
1069.0	398.0
1070.0	438.0
1071.0	440.0
1072.0	432.0
1073.0	455.0
1074.0	419.0
1075.0	414.0
1076.0	388.0
1077.0	425.0
1078.0	454.0
1079.0	406.0
1080.0	410.0
1081.0	465.0
1082.0	384.0
1083.0	451.0
1084.0	382.0
1085.0	450.0
1086.0	393.0
1087.0	415.0
1088.0	440.0
1089.0	432.0
1090.0	426.0
1091.0	438.0
1092.0	443.0
1093.0	381.0
1094.0	401.0
1095.0	416.0
1096.0	406.0
1097.0	413.0
1098.0	448.0
1099.0	428.0
1100.0	485.0
1101.0	420.0
1102.0	457.0
1103.0	453.0
1104.0	472.0
1105.0	433.0
1106.0	402.0
1107.0	430.0
1108.0	415.0
1109.0	446.0
1110.0	435.0
1111.0	391.0
1112.0	427.0
1113.0	383.0
1114.0	435.0
1115.0	456.0
1116.0	459.0
1117.0	435.0
1118.0	398.0
1119.0	429.0
1120.0	429.0
1121.0	392.0
1122.0	412.0
1123.0	417.0
1124.0	372.0
1125.0	403.0
1126.0	395.0
1127.0	368.0
1128.0	396.0
1129.0	402.0
1130.0	441.0
1131.0	396.0
1132.0	372.0
1133.0	468.0
1134.0	446.0
1135.0	422.0
1136.0	406.0
1137.0	402.0
1138.0	402.0
1139.0	457.0
1140.0	464.0
1141.0	456.0
1142.0	424.0
1143.0	449.0
1144.0	426.0
1145.0	415.0
1146.0	422.0
1147.0	421.0
1148.0	445.0
1149.0	436.0
1150.0	426.0
1151.0	407.0
1152.0	421.0
1153.0	390.0
1154.0	383.0
1155.0	435.0
1156.0	453.0
1157.0	460.0
1158.0	423.0
1159.0	488.0
1160.0	395.0
1161.0	436.0
1162.0	387.0
1163.0	384.0
1164.0	430.0
1165.0	422.0
1166.0	397.0
1167.0	415.0
1168.0	452.0
1169.0	447.0
1170.0	423.0
1171.0	423.0
1172.0	410.0
1173.0	455.0
1174.0	388.0
1175.0	428.0
1176.0	417.0
1177.0	394.0
1178.0	444.0
1179.0	397.0
1180.0	392.0
1181.0	444.0
1182.0	418.0
1183.0	399.0
1184.0	456.0
1185.0	429.0
1186.0	400.0
1187.0	411.0
1188.0	435.0
1189.0	428.0
1190.0	411.0
1191.0	377.0
1192.0	357.0
1193.0	421.0
1194.0	406.0
1195.0	396.0
1196.0	430.0
1197.0	402.0
1198.0	446.0
1199.0	390.0
1200.0	404.0
1201.0	450.0
1202.0	361.0
1203.0	435.0
1204.0	396.0
1205.0	409.0
1206.0	399.0
1207.0	438.0
1208.0	394.0
1209.0	435.0
1210.0	406.0
1211.0	450.0
1212.0	466.0
1213.0	447.0
1214.0	420.0
1215.0	443.0
1216.0	442.0
1217.0	471.0
1218.0	403.0
1219.0	460.0
1220.0	444.0
1221.0	457.0
1222.0	460.0
1223.0	436.0
1224.0	507.0
1225.0	451.0
1226.0	510.0
1227.0	441.0
1228.0	460.0
1229.0	497.0
1230.0	450.0
1231.0	427.0
1232.0	509.0
1233.0	451.0
1234.0	480.0
1235.0	525.0
1236.0	496.0
1237.0	474.0
1238.0	444.0
1239.0	490.0
1240.0	417.0
1241.0	502.0
1242.0	403.0
1243.0	515.0
1244.0	430.0
1245.0	519.0
1246.0	449.0
1247.0	490.0
1248.0	472.0
1249.0	499.0
1250.0	468.0
1251.0	459.0
1252.0	426.0
1253.0	465.0
1254.0	485.0
1255.0	463.0
1256.0	434.0
1257.0	401.0
1258.0	465.0
1259.0	439.0
1260.0	456.0
1261.0	488.0
1262.0	522.0
1263.0	470.0
1264.0	476.0
1265.0	455.0
1266.0	419.0
1267.0	455.0
1268.0	451.0
