"","Int-01","Int-02","Int-03","Int-04","Liv-01","Liv-02","Liv-03","Liv-04"
"Smp_005670",2.58411291871707,1.32332214395358,2.53508239324987,1.32332214395358,1.32332214395358,3.22238683125624,1.32332214395358,2.28927573067397
"Smp_005880",2.22855452394533,1.32332214395358,2.53508239324987,3.36783386666629,1.32332214395358,3.22238683125624,1.32332214395358,2.94163939369821
"Smp_006340",3.53484642872869,2.82045453237948,3.45754558997608,3.45293336202598,3.65323019884879,2.32280028561463,1.32332214395358,3.79370539176909
"Smp_006350",3.39468035643868,4.16269369850287,3.69415773182856,3.53279929408616,2.75948036268294,3.22238683125624,3.82374096188006,4.02355615376921
"Smp_006550",2.22855452394533,1.32332214395358,2.53508239324987,2.95458419551322,1.32332214395358,3.22238683125624,1.32332214395358,1.32332214395358
"Smp_006630",2.58411291871707,3.12161614199468,3.32094489093741,3.17842682054704,2.3589153606473,2.53603444478617,1.32332214395358,1.32332214395358
"Smp_006690",2.58411291871707,2.40461259395402,2.787746359141,2.95458419551322,2.3589153606473,2.03697971534494,1.32332214395358,2.94163939369821
"Smp_006700",4.70832893655939,3.36276872371599,4.22555040666974,4.67225520778437,4.28440275222136,3.5015825296182,3.82374096188006,4.12548712749617
"Smp_006710",3.05735342553861,3.89662824214781,3.45754558997608,3.53279929408616,3.48194627741433,3.92761677694294,2.87817862181181,3.72960428194492
"Smp_007170",1.32332214395358,1.32332214395358,2.53508239324987,2.29749697177249,1.32332214395358,2.71110580789971,1.32332214395358,2.28927573067397
"Smp_007260",2.22855452394533,1.32332214395358,2.53508239324987,1.32332214395358,2.75948036268294,2.32280028561463,1.32332214395358,2.66605639811747
"Smp_007380",1.32332214395358,1.32332214395358,1.32332214395358,2.29749697177249,1.32332214395358,2.32280028561463,3.4362340023329,2.66605639811747
"Smp_007710",2.22855452394533,1.32332214395358,2.99306309508435,2.29749697177249,2.75948036268294,1.32332214395358,1.32332214395358,2.94163939369821
"Smp_007900",1.32332214395358,3.36276872371599,1.32332214395358,2.95458419551322,4.71690192113765,3.73143645355697,3.4362340023329,3.16408874501742
"Smp_008140",1.96857861100887,1.32332214395358,2.19237669628453,2.50585165654037,2.75948036268294,2.71110580789971,1.32332214395358,2.0126097154199
"Smp_008320",1.32332214395358,1.32332214395358,2.53508239324987,2.95458419551322,3.28468657367714,2.71110580789971,1.32332214395358,1.32332214395358
"Smp_008360",2.42343037872152,1.32332214395358,2.99306309508435,2.67711666958055,3.94139344729849,3.41508780103205,1.32332214395358,2.66605639811747
"Smp_008400",2.84548596773908,3.36276872371599,1.32332214395358,3.07168890679356,2.75948036268294,3.22238683125624,3.4362340023329,2.94163939369821
"Smp_008430",3.8314328656008,4.03607900542137,4.15005242244956,4.04219634309756,3.05072884882398,4.15185816507916,1.32332214395358,3.79370539176909
"Smp_008440",4.65046587270103,4.03607900542137,4.49232815900683,4.73839022325547,4.55945898761564,5.6582228193905,4.92560321390408,4.54637584799148
"Smp_008500",1.32332214395358,1.32332214395358,1.32332214395358,2.67711666958055,3.28468657367714,2.32280028561463,1.32332214395358,2.28927573067397
"Smp_008545",3.66148424776405,3.36276872371599,3.58114171538273,4.1445298089171,5.10555169397812,3.86532160476451,1.32332214395358,4.22042480223835
"Smp_008900",2.84548596773908,2.82045453237948,2.53508239324987,2.67711666958055,3.28468657367714,2.32280028561463,1.32332214395358,2.66605639811747
"Smp_009230",3.31845020120483,3.89662824214781,3.89511719160229,4.04219634309756,4.38220290237645,5.33881153950247,1.32332214395358,3.72960428194492
"Smp_009250",2.22855452394533,1.32332214395358,2.53508239324987,2.67711666958055,3.28468657367714,1.32332214395358,3.4362340023329,2.66605639811747
"Smp_009310",4.52710861335338,4.278711610325,5.11982720938698,4.49196617564279,5.66208997614637,4.20266115899091,3.4362340023329,5.15724133624439
"Smp_009400",1.32332214395358,1.32332214395358,2.53508239324987,2.01858193803416,1.32332214395358,2.32280028561463,3.4362340023329,2.66605639811747
"Smp_009650",2.22855452394533,2.82045453237948,1.32332214395358,2.95458419551322,1.32332214395358,2.71110580789971,1.32332214395358,3.16408874501742
"Smp_009690",3.66148424776405,2.82045453237948,3.32094489093741,3.36783386666629,4.71690192113765,3.73143645355697,1.32332214395358,4.54637584799148
"Smp_009760",3.15064561509589,2.82045453237948,2.19237669628453,3.53279929408616,4.28440275222136,3.80003525844454,1.32332214395358,3.59139878354691
"Smp_010110",2.58411291871707,1.32332214395358,2.53508239324987,2.50585165654037,1.32332214395358,2.03697971534494,1.32332214395358,1.32332214395358
"Smp_010290",2.22855452394533,1.32332214395358,2.53508239324987,2.29749697177249,1.32332214395358,2.71110580789971,1.32332214395358,2.28927573067397
"Smp_010620",2.58411291871707,1.32332214395358,2.53508239324987,2.67711666958055,1.32332214395358,2.32280028561463,1.32332214395358,2.66605639811747
"Smp_010940",3.23735642667166,1.32332214395358,2.53508239324987,2.67711666958055,3.28468657367714,2.86152778471089,1.32332214395358,2.66605639811747
"Smp_011120",2.58411291871707,1.32332214395358,2.53508239324987,1.32332214395358,3.28468657367714,2.71110580789971,1.32332214395358,2.66605639811747
"Smp_011270",2.22855452394533,3.36276872371599,1.32332214395358,1.32332214395358,1.32332214395358,2.71110580789971,1.32332214395358,2.28927573067397
"Smp_011570",2.84548596773908,2.82045453237948,1.32332214395358,3.53279929408616,3.28468657367714,3.41508780103205,1.32332214395358,3.51649287474778
"Smp_011860",2.58411291871707,2.82045453237948,1.32332214395358,1.32332214395358,2.75948036268294,1.32332214395358,1.32332214395358,2.28927573067397
"Smp_012070",2.58411291871707,1.32332214395358,2.53508239324987,1.32332214395358,2.75948036268294,2.71110580789971,1.32332214395358,1.32332214395358
"Smp_012150",2.58411291871707,1.32332214395358,2.53508239324987,2.01858193803416,1.32332214395358,1.32332214395358,2.87817862181181,2.49603713596772
"Smp_012340",2.58411291871707,1.32332214395358,2.53508239324987,2.29749697177249,1.32332214395358,1.32332214395358,1.32332214395358,2.28927573067397
"Smp_012470",2.22855452394533,1.32332214395358,1.32332214395358,2.67711666958055,2.75948036268294,2.71110580789971,1.32332214395358,2.28927573067397
