88812
21269	21318	2685
24037	24660	2735
29169	29318	3359
40226	40442	3509
43714	43803	3726
48458	48541	3816
54404	54454	3900
57411	57692	3951
71521	71851	4233
0	35	0
70	151	36
384	616	118
0	47	0
87	225	48
399	765	187
0	65	0
4210	4353	66
19065	19127	210
28655	28799	273
34528	34724	418
45197	45414	615
48189	48403	833
53973	54112	1048
58528	58768	1188
61146	61404	1429
67159	67516	1688
0	260	0
1095	1293	261
1328	1562	460
0	2559	0
12266	12798	2560
21505	22362	3093
32549	32569	3951
38081	38278	3972
39052	39315	4170
42220	42273	4434
42670	42748	4488
54456	54824	4567
56630	56729	4936
65034	65153	5036
66925	67161	5156
68471	68598	5393
78154	78219	5521
81626	81674	5587
85804	85857	5636
87441	87697	5690
91622	91729	5947
0	189	0
5916	6247	190
0	751	0
4261	4499	752
8694	8770	991
10017	10298	1068
11874	12017	1350
12053	12174	1494
0	220	0
259	375	221
984	1174	338
2088	2505	529
9852	10179	947
11489	11889	1275
12484	12567	1676
16423	16629	1760
19692	20021	1967
25033	25268	2297
26970	27451	2533
29648	29845	3015
31057	31397	3213
35133	35201	3554
37963	38061	3623
41527	41744	3722
43905	43974	3940
49419	49697	4010
50897	51384	4289
56355	56520	4777
63529	63921	4943
66601	67110	5336
69306	69423	5846
70707	70760	5964
79400	79702	6018
82553	83074	6321
84066	84425	6843
85641	85800	7203
86511	86825	7363
87857	87910	7678
89063	89238	7732
90216	90304	7908
91860	92006	7997
93233	93736	8144
96895	97250	8648
103042	103154	9004
104720	104731	9117
109225	109334	9129
113221	113457	9239
116288	116470	9476
117932	118052	9659
120546	120733	9780
121965	122034	9968
125801	126095	10038
128139	128277	10333
130257	131143	10472
0	1500	0
5647	5721	1501
7419	7525	1576
10942	11016	1683
13395	13592	1758
17447	17547	1956
22933	23147	2057
25978	26267	2272
26718	26868	2562
28602	28850	2713
35458	35717	2962
41766	42208	3222
47612	47855	3665
0	2515	0
2554	2616	2516
2663	2745	2579
3639	3731	2662
5085	5157	2755
5740	5943	2828
6785	6997	3032
8306	8410	3245
0	803	0
3994	4066	804
4103	4113	877
4155	4314	888
4350	4545	1048
0	2337	0
3116	3274	2338
5345	5416	2497
6298	6406	2569
7570	7749	2678
9677	9764	2858
12323	12627	2946
15110	15173	3251
17309	18244	3315
20541	20771	4251
22428	22642	4482
25101	25818	4697
27012	27113	5415
29838	30333	5517
31768	31898	6013
33560	34209	6144
40576	40806	6794
43550	43691	7025
46132	46522	7167
49029	49147	7558
51262	51494	7677
53222	53927	7910
0	182	0
1688	1852	183
3856	4041	348
4079	4241	534
4275	4414	697
4451	4606	837
5821	5960	993
0	80	0
5247	5819	81
32537	32946	654
36814	38026	1064
40578	42868	2277
0	246	0
1609	1842	247
4800	5151	481
7472	8024	833
0	246	0
4800	5151	247
7472	8024	599
0	335	0
0	43	0
1455	1575	44
2732	2776	165
2839	2908	210
3284	3351	280
3974	4087	348
4471	4519	462
5406	5483	511
6084	6434	589
0	416	0
1294	1642	417
1927	2160	766
2547	2719	1000
0	285	0
0	157	0
538	586	158
1555	1632	207
2240	2367	285
0	116	0
704	781	117
1729	1777	195
2158	2297	244
0	77	0
1025	1072	78
1453	1592	126
0	230	0
0	116	0
704	781	117
1714	1762	195
2143	2282	244
0	465	0
1343	1691	466
1997	2230	815
2601	2758	1049
0	914	0
2863	3328	915
0	309	0
2039	2220	310
2268	7465	492
0	309	0
2039	2220	310
7423	7465	492
0	780	0
3496	3567	781
7827	7875	853
13068	13184	902
14732	14799	1019
18321	18393	1087
21783	21829	1160
22653	22776	1207
24002	24066	1331
24581	24625	1396
0	1294	0
1387	1407	1295
2240	2290	1316
8301	8358	1367
0	1294	0
2240	2290	1295
8301	8358	1346
0	1294	0
1387	1407	1295
2240	2290	1316
14266	14318	1367
0	313	0
4143	4298	314
6818	6892	470
10804	10976	545
18754	19070	718
0	1351	0
2639	2785	1352
3868	4259	1499
8915	9422	1891
11289	11444	2399
