10960
Smp_330320.1	4925034	4925903	4913775	2	1	923	91
Smp_164200.1	4951711	4970853	4925903	2	9	924	92
Smp_077980.1	4991002	5000629	4970853	1	2	933	93
Smp_164210.1	5019402	5044443	5000629	1	9	935	94
Smp_168930.1	5046043	5066375	5044443	1	8	944	95
Smp_114430.1	5081888	5089325	5066375	1	3	952	96
Smp_114435.1	5096697	5108416	5089325	1	5	955	97
Smp_086060.1	5119150	5127158	5108416	2	2	960	98
Smp_349660.1	5171421	5174992	5127158	2	3	962	99
Smp_154980.1	5192343	5203528	5174992	2	7	965	100
Smp_154970.1	5232256	5252102	5203528	1	3	972	101
Smp_200620.1	5275104	5275499	5252102	1	1	975	102
Smp_061100.1	5293394	5317622	5275499	2	7	976	103
Smp_154960.1	5325053	5344280	5317622	2	5	983	104
Smp_154960.2	5325053	5344280	5344280	2	4	988	104
Smp_331210.1	5364790	5369844	5344280	2	2	992	105
Smp_196400.1	5386502	5452956	5369844	1	8	994	106
Smp_103790.1	5453490	5456418	5452956	2	4	1002	107
Smp_201070.1	5463905	5466960	5456418	2	1	1006	108
Smp_318490.1	5467868	5471319	5466960	2	3	1007	109
Smp_016050.1	5627786	5660531	5471319	1	11	1010	110
Smp_130910.1	5674117	5679619	5660531	2	3	1021	111
Smp_172850.1	5692807	5735941	5679619	1	3	1024	112
Smp_245010.1	5751507	5824270	5735941	1	25	1027	113
Smp_016090.1	5852963	5892713	5824270	2	12	1052	114
Smp_130940.1	5898297	5912241	5892713	1	1	1064	115
Smp_347280.1	5927934	5949183	5912241	2	5	1065	116
Smp_016200.1	5960757	5981411	5949183	1	7	1070	117
Smp_016180.1	6005798	6062823	5981411	2	11	1077	118
Smp_319030.1	6089168	6089593	6062823	2	1	1088	119
Smp_130980.1	6089687	6111811	6089593	1	6	1089	120
Smp_342560.1	6113207	6130393	6111811	2	8	1095	121
Smp_130960.1	6146910	6152129	6130393	2	2	1103	122
Smp_016130.1	6164984	6170896	6152129	1	2	1105	123
Smp_130950.1	6176917	6194989	6170896	1	8	1107	124
