#Position (bp)	insert size
9.63877665E7	4753.897346200241
9.73663225E7	2413.6009110021023
9.83448785E7	3899.901690554943
9.93234345E7	3484.4087862993297
1.003019905E8	4857.834619625138
1.012805465E8	1850.4193290734825
1.022591025E8	1495.516515561211
1.032376585E8	3649.614556101642
1.042162145E8	3851.54765068245
1.051947705E8	4935.635324804372
1.061733265E8	1151.701104353393
1.071518825E8	2070.6071314188107
1.081304385E8	1482.015610167704
1.091089945E8	1858.7816467513069
1.100875505E8	851.4204794432272
1.110661065E8	2199.9583555792847
1.120446625E8	1622.217731865138
1.130232185E8	3906.795754151686
1.140017745E8	1359.1757232754185
1.149803305E8	1530.2142555735284
1.159588865E8	3320.3211092186502
1.169374425E8	1131.6515301574725
1.179159985E8	12841.072412595508
1.188945545E8	2987.980220208516
1.198731105E8	8625.02785048686
1.208516665E8	2160.6631504209354
1.218302225E8	2467.683789117564
1.228087785E8	2660.271676300578
1.237873345E8	3579.4488906497622
1.247658905E8	10116.763075657895
1.257444465E8	2536.1542620499254
1.267230025E8	4231.325261158595
1.277015585E8	1913.664088811276
1.286801145E8	1107.131396599957
1.296586705E8	984.3212083847102
1.306372265E8	1514.2708026300872
1.316157825E8	1515.5697084530286
1.325943385E8	2204.0674928081435
1.335728945E8	1769.081578387577
1.345514505E8	1447.262985343276
1.355300065E8	4759.181133968891
1.365085625E8	2182.437579780444
1.374871185E8	3034.6233611442194
1.384656745E8	2503.628942486085
1.394442305E8	2140.8752653927813
1.404227865E8	1680.043926083005
1.414013425E8	1941.8834821000096
1.423798985E8	3472.882240657808
1.433584545E8	2895.508299798793
1.443370105E8	2060.2188764973153
1.453155665E8	1597.0841073271413
1.462941225E8	2448.7911681156925
1.472726785E8	2507.6002378121284
1.482512345E8	2495.031052261542
1.492297905E8	2811.823152744802
1.502083465E8	1564.341227125942
1.511869025E8	3255.486115444618
1.521654585E8	2338.3093084925545
1.531440145E8	3019.945796119495
1.541225705E8	2812.524866595518
1.551011265E8	7159.250380646253
1.560796825E8	3379.094184779124
1.570582385E8	3116.249917391783
1.580367945E8	3149.809011627907
1.590153505E8	2215.0497646267654
1.599939065E8	2183.0980266529987
1.609724625E8	4984.682001951764
1.619510185E8	5882.21967113738
1.629295745E8	2464.4501463750644
1.639081305E8	2239.728586171311
1.648866865E8	1958.468312004875
1.658652425E8	1843.0519640249058
1.668437985E8	7021.572904973873
1.678223545E8	2669.489016980838
1.688009105E8	6640.5887081339715
1.697794665E8	8212.864191639626
1.707580225E8	51215.670495049504
1.717365785E8	58119.67464834103
1.727151345E8	8803.49136613692
1.736936905E8	3379.5172862604736
1.744297225E8	12180.452040460412
1.749190005E8	133222.63038344766
1.756508025E8	44781.45200794014
1.766293585E8	58080.25411623186
1.776079145E8	13900.45467805793
1.785864705E8	9044.654033351952
1.795650265E8	2804.2598308567062
1.805435825E8	15937.195686742198
1.815221385E8	2869.210942324318
1.825006945E8	5665.240867240867
1.834792505E8	3523.6429581294183
1.844578065E8	1362.7531778490106
1.854363625E8	48209.440749586625
1.864149185E8	2324.3233583716988
1.873934745E8	2583.707384230288
1.883720305E8	9684.720122054585
1.893505865E8	4433.980455407969
1.903291425E8	2028.1160059960027
1.913076985E8	2378.0874422601782
1.922862545E8	1281.461221719457
1.932648105E8	2305.5090335531977
1.942433665E8	1767.4523426503117
1.952219225E8	1750.8644329896906
1.962004785E8	2755.2297202181944
1.971790345E8	1398.0944618133094
1.981575905E8	1331.2445035985409
1.991361465E8	2592.622041192745
2.001147025E8	4398.718466795424
2.010932585E8	3072.384658634538
2.020718145E8	9149.997378876504
2.030503705E8	2369.6733188720173
2.040289265E8	1130.3726510406143
2.050074825E8	12209.141033434651
2.059860385E8	6598.085484183971
2.069645945E8	1882.2650519031142
2.079431505E8	1105.2272143774069
2.089217065E8	2390.4633793410508
2.099002625E8	17012.37866153517
2.108788185E8	4022.1042242400317
2.118573745E8	2306.2780957699288
2.128359305E8	4310.247908153337
2.138144865E8	2592.6281291570926
2.147930425E8	2608.8665827098303
2.157715985E8	1542.9679758308157
2.167501545E8	2805.313310580205
2.177287105E8	3291.613531928379
2.187072665E8	1932.8899332929047
2.196858225E8	1622.2963075984133
2.206643785E8	17549.996473077827
2.216429345E8	3285.2957204205536
2.226214905E8	2576.42369679438
2.236000465E8	1827.8263215657582
2.242797555E8	5946.617653437433
2.247690335E8	27099.11798753339
2.255571585E8	2226.7506401255473
2.265357145E8	1317.726461999842
2.275142705E8	122589.82510460251
2.284928265E8	3673.773308270677
2.294713825E8	1486.2069794721408
2.304499385E8	4770.208376963351
2.314284945E8	3863.148685714286
2.324070505E8	1623.7521072267514
2.333856065E8	2830.669686278249
2.343641625E8	5230.3249158249155
2.353427185E8	1700.33405196241
2.363212745E8	3129.4304342624714
2.372998305E8	1088.1852080123267
2.382783865E8	2094.175472098451
2.392569425E8	2338.0766113714067
2.402354985E8	1806.6035052070104
2.412140545E8	2494.7138482813116
2.421926105E8	2098.2247709489734
2.431711665E8	29582.74741200828
2.441497225E8	2317.689846821201
2.451282785E8	1971.6968162897963
2.461068345E8	1334.006
2.470853905E8	1276.0325196723943
2.480639465E8	2401.945413191812
2.490425025E8	2415.543239464749
2.500210585E8	3225.551397882818
2.509996145E8	1509.0935149033426
2.519781705E8	2507.526847110461
2.529567265E8	2923.059386318595
2.539352825E8	2518.9379815466564
2.549138385E8	5844.9125160272215
2.558923945E8	2048.358415147265
